sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AC,ACRELÂNDIA,12,117,2022-11-25 18:45:37
AC,ACRELÂNDIA,13,1516,2022-11-25 18:45:37
AC,ACRELÂNDIA,14,6,2022-11-25 18:45:37
AC,ACRELÂNDIA,15,192,2022-11-25 18:45:37
AC,ACRELÂNDIA,16,1,2022-11-25 18:45:37
AC,ACRELÂNDIA,21,0,2022-11-25 18:45:37
AC,ACRELÂNDIA,22,5238,2022-11-25 18:45:37
AC,ACRELÂNDIA,27,0,2022-11-25 18:45:37
AC,ACRELÂNDIA,30,11,2022-11-25 18:45:37
AC,ACRELÂNDIA,44,37,2022-11-25 18:45:37
AC,ACRELÂNDIA,80,0,2022-11-25 18:45:37
AC,ASSIS BRASIL,12,44,2022-11-25 18:45:37
AC,ASSIS BRASIL,13,2003,2022-11-25 18:45:37
AC,ASSIS BRASIL,14,2,2022-11-25 18:45:37
AC,ASSIS BRASIL,15,109,2022-11-25 18:45:37
AC,ASSIS BRASIL,16,5,2022-11-25 18:45:37
AC,ASSIS BRASIL,21,1,2022-11-25 18:45:37
AC,ASSIS BRASIL,22,2694,2022-11-25 18:45:37
AC,ASSIS BRASIL,27,0,2022-11-25 18:45:37
AC,ASSIS BRASIL,30,2,2022-11-25 18:45:37
AC,ASSIS BRASIL,44,11,2022-11-25 18:45:37
AC,ASSIS BRASIL,80,0,2022-11-25 18:45:37
AC,BRASILÉIA,12,249,2022-11-25 18:45:37
AC,BRASILÉIA,13,4171,2022-11-25 18:45:37
AC,BRASILÉIA,14,4,2022-11-25 18:45:37
AC,BRASILÉIA,15,496,2022-11-25 18:45:37
AC,BRASILÉIA,16,2,2022-11-25 18:45:37
AC,BRASILÉIA,21,4,2022-11-25 18:45:37
AC,BRASILÉIA,22,9143,2022-11-25 18:45:37
AC,BRASILÉIA,27,3,2022-11-25 18:45:37
AC,BRASILÉIA,30,12,2022-11-25 18:45:37
AC,BRASILÉIA,44,53,2022-11-25 18:45:37
AC,BRASILÉIA,80,1,2022-11-25 18:45:37
AC,BUJARI,12,197,2022-11-25 18:45:37
AC,BUJARI,13,2130,2022-11-25 18:45:37
AC,BUJARI,14,9,2022-11-25 18:45:37
AC,BUJARI,15,356,2022-11-25 18:45:37
AC,BUJARI,16,1,2022-11-25 18:45:37
AC,BUJARI,21,2,2022-11-25 18:45:37
AC,BUJARI,22,4505,2022-11-25 18:45:37
AC,BUJARI,27,0,2022-11-25 18:45:37
AC,BUJARI,30,5,2022-11-25 18:45:37
AC,BUJARI,44,58,2022-11-25 18:45:37
AC,BUJARI,80,0,2022-11-25 18:45:37
AC,CAPIXABA,12,120,2022-11-25 18:45:37
AC,CAPIXABA,13,1630,2022-11-25 18:45:37
AC,CAPIXABA,14,0,2022-11-25 18:45:37
AC,CAPIXABA,15,264,2022-11-25 18:45:37
AC,CAPIXABA,16,0,2022-11-25 18:45:37
AC,CAPIXABA,21,1,2022-11-25 18:45:37
AC,CAPIXABA,22,3944,2022-11-25 18:45:37
AC,CAPIXABA,27,0,2022-11-25 18:45:37
AC,CAPIXABA,30,6,2022-11-25 18:45:37
AC,CAPIXABA,44,46,2022-11-25 18:45:37
AC,CAPIXABA,80,0,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,12,1267,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,13,10770,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,14,31,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,15,1883,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,16,6,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,21,18,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,22,30977,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,27,2,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,30,72,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,44,171,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,80,4,2022-11-25 18:45:37
AC,EPITACIOLÂNDIA,12,142,2022-11-25 18:45:37
AC,EPITACIOLÂNDIA,13,2592,2022-11-25 18:45:37
AC,EPITACIOLÂNDIA,14,6,2022-11-25 18:45:37
AC,EPITACIOLÂNDIA,15,377,2022-11-25 18:45:37
AC,EPITACIOLÂNDIA,16,2,2022-11-25 18:45:37
AC,EPITACIOLÂNDIA,21,2,2022-11-25 18:45:37
AC,EPITACIOLÂNDIA,22,6494,2022-11-25 18:45:37
