sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AC,ACRELÂNDIA,13,1460,2022-11-25 18:45:37
AC,ACRELÂNDIA,22,5317,2022-11-25 18:45:37
AC,ASSIS BRASIL,13,1895,2022-11-25 18:45:37
AC,ASSIS BRASIL,22,2717,2022-11-25 18:45:37
AC,BRASILÉIA,13,3958,2022-11-25 18:45:37
AC,BRASILÉIA,22,9593,2022-11-25 18:45:37
AC,BUJARI,13,1958,2022-11-25 18:45:37
AC,BUJARI,22,4693,2022-11-25 18:45:37
AC,CAPIXABA,13,1497,2022-11-25 18:45:37
AC,CAPIXABA,22,3963,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,13,9733,2022-11-25 18:45:37
AC,CRUZEIRO DO SUL,22,31936,2022-11-25 18:45:37
AC,EPITACIOLÂNDIA,13,2464,2022-11-25 18:45:37
AC,EPITACIOLÂNDIA,22,6729,2022-11-25 18:45:37
AC,FEIJÓ,13,7113,2022-11-25 18:45:37
AC,FEIJÓ,22,6383,2022-11-25 18:45:37
AC,JORDÃO,13,1980,2022-11-25 18:45:37
AC,JORDÃO,22,1433,2022-11-25 18:45:37
AC,MANOEL URBANO,13,2047,2022-11-25 18:45:37
AC,MANOEL URBANO,22,2889,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,13,2742,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,22,3710,2022-11-25 18:45:37
AC,MÂNCIO LIMA,13,2708,2022-11-25 18:45:37
AC,MÂNCIO LIMA,22,6331,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,13,2306,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,22,6176,2022-11-25 18:45:37
AC,PORTO ACRE,13,2317,2022-11-25 18:45:37
AC,PORTO ACRE,22,7384,2022-11-25 18:45:37
AC,PORTO WALTER,13,2093,2022-11-25 18:45:37
AC,PORTO WALTER,22,1866,2022-11-25 18:45:37
AC,RIO BRANCO,13,53873,2022-11-25 18:45:37
AC,RIO BRANCO,22,142090,2022-11-25 18:45:37
AC,RODRIGUES ALVES,13,1455,2022-11-25 18:45:37
AC,RODRIGUES ALVES,22,6011,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,13,1217,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,22,1127,2022-11-25 18:45:37
AC,SENA MADUREIRA,13,4976,2022-11-25 18:45:37
AC,SENA MADUREIRA,22,13606,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,13,3338,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,22,9512,2022-11-25 18:45:37
AC,TARAUACÁ,13,6802,2022-11-25 18:45:37
AC,TARAUACÁ,22,9067,2022-11-25 18:45:37
AC,XAPURI,13,3634,2022-11-25 18:45:37
AC,XAPURI,22,5217,2022-11-25 18:45:37
AL,ANADIA,13,6166,2022-11-25 18:45:37
AL,ANADIA,22,2019,2022-11-25 18:45:37
AL,ARAPIRACA,13,61009,2022-11-25 18:45:37
AL,ARAPIRACA,22,54674,2022-11-25 18:45:37
AL,ATALAIA,13,13340,2022-11-25 18:45:37
AL,ATALAIA,22,7544,2022-11-25 18:45:37
