,sg_uf,nm_municipio,nr_candidato,qt_votos_primeiro_turno,qt_votos_segundo_turno
0,AC,ACRELÂNDIA,12,117,0
1,AC,ACRELÂNDIA,13,1516,1460
2,AC,ACRELÂNDIA,14,6,0
3,AC,ACRELÂNDIA,15,192,0
4,AC,ACRELÂNDIA,16,1,0
5,AC,ACRELÂNDIA,21,0,0
6,AC,ACRELÂNDIA,22,5238,5317
7,AC,ACRELÂNDIA,27,0,0
8,AC,ACRELÂNDIA,30,11,0
9,AC,ACRELÂNDIA,44,37,0
10,AC,ACRELÂNDIA,80,0,0
11,AC,ASSIS BRASIL,12,44,0
12,AC,ASSIS BRASIL,13,2003,1895
13,AC,ASSIS BRASIL,14,2,0
14,AC,ASSIS BRASIL,15,109,0
15,AC,ASSIS BRASIL,16,5,0
16,AC,ASSIS BRASIL,21,1,0
17,AC,ASSIS BRASIL,22,2694,2717
18,AC,ASSIS BRASIL,27,0,0
19,AC,ASSIS BRASIL,30,2,0
20,AC,ASSIS BRASIL,44,11,0
21,AC,ASSIS BRASIL,80,0,0
22,AC,BRASILÉIA,12,249,0
23,AC,BRASILÉIA,13,4171,3958
24,AC,BRASILÉIA,14,4,0
25,AC,BRASILÉIA,15,496,0
26,AC,BRASILÉIA,16,2,0
27,AC,BRASILÉIA,21,4,0
28,AC,BRASILÉIA,22,9143,9593
29,AC,BRASILÉIA,27,3,0
30,AC,BRASILÉIA,30,12,0
31,AC,BRASILÉIA,44,53,0
32,AC,BRASILÉIA,80,1,0
33,AC,BUJARI,12,197,0
34,AC,BUJARI,13,2130,1958
35,AC,BUJARI,14,9,0
36,AC,BUJARI,15,356,0
37,AC,BUJARI,16,1,0
38,AC,BUJARI,21,2,0
39,AC,BUJARI,22,4505,4693
40,AC,BUJARI,27,0,0
41,AC,BUJARI,30,5,0
42,AC,BUJARI,44,58,0
43,AC,BUJARI,80,0,0
44,AC,CAPIXABA,12,120,0
45,AC,CAPIXABA,13,1630,1497
46,AC,CAPIXABA,14,0,0
47,AC,CAPIXABA,15,264,0
48,AC,CAPIXABA,16,0,0
49,AC,CAPIXABA,21,1,0
50,AC,CAPIXABA,22,3944,3963
51,AC,CAPIXABA,27,0,0
52,AC,CAPIXABA,30,6,0
53,AC,CAPIXABA,44,46,0
54,AC,CAPIXABA,80,0,0
55,AC,CRUZEIRO DO SUL,12,1267,0
56,AC,CRUZEIRO DO SUL,13,10770,9733
57,AC,CRUZEIRO DO SUL,14,31,0
58,AC,CRUZEIRO DO SUL,15,1883,0
59,AC,CRUZEIRO DO SUL,16,6,0
60,AC,CRUZEIRO DO SUL,21,18,0
61,AC,CRUZEIRO DO SUL,22,30977,31936
62,AC,CRUZEIRO DO SUL,27,2,0
63,AC,CRUZEIRO DO SUL,30,72,0
64,AC,CRUZEIRO DO SUL,44,171,0
65,AC,CRUZEIRO DO SUL,80,4,0
66,AC,EPITACIOLÂNDIA,12,142,0
67,AC,EPITACIOLÂNDIA,13,2592,2464
68,AC,EPITACIOLÂNDIA,14,6,0
69,AC,EPITACIOLÂNDIA,15,377,0
70,AC,EPITACIOLÂNDIA,16,2,0
71,AC,EPITACIOLÂNDIA,21,2,0
72,AC,EPITACIOLÂNDIA,22,6494,6729
73,AC,EPITACIOLÂNDIA,27,0,0
74,AC,EPITACIOLÂNDIA,30,4,0
75,AC,EPITACIOLÂNDIA,44,46,0
76,AC,EPITACIOLÂNDIA,80,1,0
77,AC,FEIJÓ,12,373,0
78,AC,FEIJÓ,13,7930,7113
79,AC,FEIJÓ,14,2,0
80,AC,FEIJÓ,15,635,0
81,AC,FEIJÓ,16,1,0
82,AC,FEIJÓ,21,6,0
83,AC,FEIJÓ,22,6191,6383
84,AC,FEIJÓ,27,0,0
85,AC,FEIJÓ,30,11,0
86,AC,FEIJÓ,44,69,0
87,AC,FEIJÓ,80,2,0
88,AC,JORDÃO,12,120,0
89,AC,JORDÃO,13,2213,1980
90,AC,JORDÃO,14,2,0
91,AC,JORDÃO,15,157,0
92,AC,JORDÃO,16,1,0
93,AC,JORDÃO,21,2,0
94,AC,JORDÃO,22,1515,1433
95,AC,JORDÃO,27,0,0
96,AC,JORDÃO,30,2,0
97,AC,JORDÃO,44,6,0
98,AC,JORDÃO,80,0,0
99,AC,MANOEL URBANO,12,114,0
100,AC,MANOEL URBANO,13,2095,2047
101,AC,MANOEL URBANO,14,2,0
102,AC,MANOEL URBANO,15,126,0
103,AC,MANOEL URBANO,16,0,0
104,AC,MANOEL URBANO,21,5,0
105,AC,MANOEL URBANO,22,3141,2889
106,AC,MANOEL URBANO,27,1,0
107,AC,MANOEL URBANO,30,3,0
108,AC,MANOEL URBANO,44,47,0
109,AC,MANOEL URBANO,80,0,0
110,AC,MARECHAL THAUMATURGO,12,225,0
111,AC,MARECHAL THAUMATURGO,13,3238,2742
112,AC,MARECHAL THAUMATURGO,14,3,0
113,AC,MARECHAL THAUMATURGO,15,433,0
114,AC,MARECHAL THAUMATURGO,16,1,0
115,AC,MARECHAL THAUMATURGO,21,1,0
116,AC,MARECHAL THAUMATURGO,22,4146,3710
117,AC,MARECHAL THAUMATURGO,27,0,0
118,AC,MARECHAL THAUMATURGO,30,1,0
119,AC,MARECHAL THAUMATURGO,44,10,0
120,AC,MARECHAL THAUMATURGO,80,1,0
121,AC,MÂNCIO LIMA,12,155,0
